"","x"
"1",0
"2",0
"3",0
"4",0
"5",7
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",23
"13",0
"14",1
"15",1
"16",0
"17",0
"18",0
"19",0
"20",1
"21",1
"22",0
"23",0
"24",0
"25",17
"26",4
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",1
"35",0
"36",0
"37",2
"38",5
"39",1
"40",1
"41",0
"42",0
"43",0
"44",0
"45",0
"46",22
"47",0
"48",13
"49",6
"50",0
"51",1
"52",0
"53",0
"54",1
"55",0
"56",0
"57",2
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",67
"71",0
"72",0
"73",1
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",2
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",3
"99",1
"100",0
"101",0
"102",0
"103",0
"104",4
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",13
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",3
"123",0
"124",0
"125",0
"126",0
"127",4
"128",0
"129",0
"130",0
"131",0
"132",0
"133",14
"134",2
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",19
"144",0
"145",0
"146",1
"147",0
"148",0
"149",0
"150",0
"151",0
"152",5
"153",11
"154",6
"155",0
"156",1
"157",0
"158",0
"159",0
"160",0
"161",0
"162",1
"163",0
"164",0
"165",0
"166",0
"167",87
"168",0
"169",39
"170",13
"171",0
"172",8
"173",0
"174",0
"175",0
"176",0
"177",5
"178",1
"179",0
"180",1
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",2
"192",1
"193",0
"194",0
"195",0
"196",0
"197",1
"198",0
"199",0
"200",2
"201",1
"202",0
"203",0
"204",0
"205",4
"206",2
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",3
"214",1
"215",0
"216",4
"217",0
"218",2
"219",1
"220",0
"221",0
"222",0
"223",0
"224",23
